"year","pages","paragraphs","characters"
1700,4648,26961,22989760
1701,151335,897265,296433402
1702,169941,855959,301316709
1703,160983,880964,329035684
1704,181095,940291,327140185
1705,183339,983259,359400866
1706,144485,847672,291645224
1707,159557,842189,312467150
1708,159868,882927,313703020
1709,163715,813052,298269874
1710,187766,991617,379099222
1711,173127,913129,305004477
1712,163036,839473,284060247
1713,157312,781749,260032281
1714,198515,976355,317258961
1715,205832,1086653,352918734
1716,178866,919103,318298196
1717,165379,821608,280682807
1718,197859,1030141,348368073
1719,187972,1024069,349035929
1720,240516,1298559,464441276
1721,210272,1179512,440259480
1722,198259,1056419,364979914
1723,172897,983153,315808046
1724,183608,966877,321793633
1725,212853,1145852,375300656
1726,241316,1497513,480773896
1727,222635,1256553,441902896
1728,227466,1292276,423578442
1729,184426,997450,323831474
1730,225464,1318254,437552507
1731,184024,885071,300789313
1732,228460,1348611,471070846
1733,199218,1113956,384147895
1734,212673,1296749,460747923
1735,241057,1369978,469966515
1736,232472,1371300,460250427
1737,226086,1184728,425754238
1738,202548,1191054,432632185
1739,255911,1520737,495586959
1740,245289,1293461,451112283
1741,224012,1252393,436389623
1742,271459,1526530,536362582
1743,215196,1206515,441655193
1744,235095,1217940,538705304
1745,221345,1158588,393582295
1746,172377,932511,308415149
1747,231213,1440820,523150602
1748,227717,1149578,379137916
1749,266556,1396753,454466687
1750,286579,1431550,460104520
1751,300344,1540159,543435092
1752,287299,1494090,500012683
1753,301010,1599286,536981269
1754,274708,1514211,472784332
1755,309624,1662422,534960289
1756,257384,1455867,494355634
1757,309123,1645541,559256394
1758,252087,1329380,449955953
1759,305017,1508525,621851845
1760,296930,1735667,524939610
1761,317340,1695258,605642927
1762,304786,1638027,547411737
1763,327964,1791998,616916822
1764,317306,1832872,652966236
1765,334357,1941264,621698007
1766,369297,1970386,628346952
1767,376424,1916985,619110314
1768,398340,2178279,694507531
1769,391596,2029530,684819160
1770,416164,2250170,704376046
1771,391483,2118032,686116903
1772,396021,2104150,688344162
1773,391503,2036698,676078296
1774,427599,2087313,703166072
1775,455399,2554634,780011729
1776,448603,2272411,754517446
1777,448903,2413700,725535308
1778,400228,2221639,756897324
1779,401560,2087807,635889713
1780,401590,2137622,655414661
1781,359475,1806162,585846659
1782,384580,2084566,728916776
1783,459740,2297639,777169137
1784,435411,2230339,717449914
1785,525576,2887972,890993710
1786,483665,2752814,900989029
1787,492993,2461070,731614796
1788,601274,3075726,967427059
1789,569622,2892442,894513094
1790,704228,3420307,1194508350
1791,640623,3376147,1108482606
1792,710221,3530376,1192289116
1793,689079,3446460,1189306066
1794,665839,3373665,1114886335
1795,749694,3777586,1292605800
1796,758053,4229477,1374134304
1797,692516,3331524,1207957514
1798,647167,3358046,1106139153
1799,656820,3240908,1039793529
